id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
34,3,,男,2023,信息学院,计算机,图灵实验班,,女,2023,统计学院,统计学类,统计1班,,女,2023,劳动人事学院,人力资源管理专业,四班,,北京二等奖,3.49,0.99924131,0.636514168,1.098612289,0.243235224,2,0.318257084,市级奖项
35,3,,女,2023,商学院,工商管理类,商学院2023级本科3班,,女,2023,商学院,工商管理类,商学院2023级本科3班,,女,2023,商学院,工商管理类,商学院2023级本科3班,,未提交,3.773333333,0,0,0,0,0,0,未获奖
36,3,,男,2022,财政金融学院,金融学数据科学与大数据技术,2022级本科金融-大数据科学与技术实验班,,女,2023,劳动人事学院,人力资源管理,2023班本科人力资源管理3班,,女,2023,劳动人事学院,人力资源管理,2023级本科人力资源管理3班,,未提交,3.556666667,0.316770879,0.636514168,0.636514168,0.184603874,3,0.636514168,未获奖
37,3,,男,2023,财政金融学院,财政学数学,23级财政学与数学双主学位实验班,,男,2023,统计学院,应用统计学,2023应用统计学1班,,男,2023,信息学院,计算机,23级图灵实验班,B,北京一等奖,3.413333333,0.630642037,0,1.098612289,0.551309728,4,0,市级奖项
38,3,,男,2023,信息学院,计算机,图灵实验班,,女,2023,统计学院,统计学类,统计本科1班,,女,2023,劳动人事学院,人力资源管理,四班,C,北京二等奖,3.383333333,0.99924131,0.636514168,1.098612289,0.243235224,2,0.318257084,市级奖项
39,3,,男,2023,物理学院,物理,理学院物理拔尖班,,男,2023,物理学院,物理,理学院物理拔尖班,,男,2023,物理学院,物理,理学院物理拔尖班,A,送全国评奖,3.65,0,0,0,0,3,0,国家级奖项
40,3,,男,2022,生态环境学院,资源与环境经济学,2022级明德环境“经济学-科学”拔尖人才实验班,,女,2022,生态环境学院,资源与环境经济学,2022级明德环境“经济学-科学”拔尖人才实验班,,男,2023,生态环境学院,资源与环境经济学,2023级明德环境“经济学-科学”拔尖人才实验班,C,成功参赛,3.403333333,0,0.636514168,0,0.367491626,3,0.636514168,成功参赛（未获奖）
41,3,,男,2023,经济学院,经济学类,经济学数学双学位实验班,,女,2023,经济学院,经济学类,经济学数学双学位实验班,,男,2023,经济学院,经济学类,经济学数学双学位实验班,B,成功参赛,3.87,0,0.636514168,0,0.367491626,3,0.318257084,成功参赛（未获奖）
42,3,,男,2023,数学学院,数学与应用数学,数学拔尖班,,男,2023,数学学院,数学与应用数学,数学拔尖班,,男,2023,数学学院,金融数学,数学英才班,C,北京二等奖,3.476666667,0,0,0.636514168,0.367491626,4,0,市级奖项
43,3,,男,2023,商学院,工商管理类,商学院2023级本科1班,,女,2023,商学院,工商管理类,商学院2023级本科3班,,女,2023,商学院,工商管理类,商学院2023级本科3班,B,北京二等奖,3.853333333,0,0.636514168,0,0.367491626,0,0.318257084,市级奖项
44,3,,女,2023,财政金融学院,金融学数学,金融数学实验班,,男,2023,统计学院,统计学-营销,统计学-营销,,女,2023,统计学院,应经数科,应经数科,B,北京一等奖,3.413333333,0.181004471,0.636514168,1.098612289,0.458807851,4,0.318257084,市级奖项
45,3,,女,2023,统计学院,统计学类,统计学类1班,,女,2023,数学学院,数学-金融双学位,数学英才班,,男,2023,统计学院,统计学类,统计学类3班,C,北京一等奖,3.666666667,0.05568273,0.636514168,0.636514168,0.335343187,3,0.318257084,市级奖项
